StateAbbr,LocationName,LocationID,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY
KY,Knott,21119,13874,1623.2579999999998,3510.1220000000003,4189.948,2469.572,4994.64,5896.45
KY,Knox,21121,29791,3574.92,6941.303000000001,8847.927,4706.978000000001,9741.657000000001,12214.31
KY,Larue,21123,15163,1956.027,3578.4680000000008,4442.759,2319.9390000000003,4943.138000000001,6459.438000000001
KY,Laurel,21125,62885,8175.05,13520.275,17733.57,9306.98,19305.695,26097.275
KY,Lawrence,21127,16109,2013.625,3608.4159999999997,4558.847000000001,2577.44,5187.098000000001,6491.927
KY,Lee,21129,7261,922.1469999999999,2156.517,2141.995,1372.329,2737.3970000000004,3216.623
KY,Leslie,21131,10093,1241.439,2371.855,2967.342,1766.275,3451.8060000000005,4501.478
KY,Letcher,21133,20893,2402.695,4199.493,6247.007,3342.88,6100.756,8482.558
KY,Lewis,21135,12954,1554.48,3342.132,3717.798,2292.8579999999997,4676.394,6036.564
KY,Lincoln,21137,24360,3215.52,4969.44,6820.8,3727.08,7137.4800000000005,9817.08
KY,Livingston,21139,8963,1138.301,1622.303,2402.084,1344.45,2366.232,3683.793
KY,Logan,21141,27877,3735.518,4989.983,7192.266,4125.796,8000.6990000000005,11262.308
KY,Lyon,21143,9101,1274.14,1683.685,2193.341,1383.3519999999999,2502.775,3531.188
KY,Madison,21151,95187,14658.798,15610.667999999998,25700.49,10756.131000000001,23035.254,32839.515
KY,Magoffin,21153,11357,1294.698,3145.8889999999997,3327.6010000000006,2112.402,4349.731,5144.721
KY,Marion,21155,19775,2689.4,4251.625,5457.900000000001,3005.8,5952.275000000001,8147.3
KY,Marshall,21157,31777,4226.341,5624.529,8611.567000000001,4480.557,8579.79,12202.368
KY,Martin,21159,11095,1397.97,3228.645,3239.7400000000002,1886.15,4160.625,4837.42
KY,Mason,21161,16930,2200.9,3555.3,4503.38,2522.57,4943.56,6755.07
KY,McCracken,21145,67490,8638.72,13160.550000000001,18154.81,10325.97,19504.61,28008.350000000002
KY,McCreary,21147,16701,2104.326,4325.558999999999,4843.29,2839.17,5962.2570000000005,7315.038
KY,McLean,21149,9105,1265.595,1757.265,2440.14,1292.91,2531.19,3623.79
KY,Meade,21163,30001,4410.147,5700.1900000000005,8130.271000000002,3780.1259999999997,7740.258000000001,11460.382000000001
KY,Menifee,21165,6250,768.75,1525.0,1762.5,1075.0,2068.75,2600.0
KY,Mercer,21167,22902,3160.4760000000006,3962.0460000000003,6000.3240000000005,3229.1820000000002,6069.03,8977.584
