adult_smoking,adult_obesity,sti,excessive_drinking,population,under_18_pct,diabetes_prevalence,no_time_activity,edu_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,life_expectancy,65older,fipscode,diabetes_pop,obesity_pop,smoking_pop,drinking_pop,physical_inactivity,life_total
0.176,0.339,382.8,0.1826988435,127450,0.2096900745,0.113,0.272,19657,3627.0,7877.0,156,51171.0,37189.0,78.247948135,30285,4003,14401.85,43205.55,22431.199999999997,23284.967604075002,34666.4,9972700.98980575
0.181,0.276,784.8,0.2048340439,142481,0.1992265635,0.094,0.205,25277,7295.0,9220.0,316,57146.0,45084.0,77.965251028,19744,4005,13393.214,39324.756,25789.060999999998,29184.9594089159,29208.605,11108566.931720467
0.198,0.312,412.8,0.2149143316,54303,0.1930464247,0.112,0.272,5223,1621.0,2962.0,40,49280.0,14658.0,72.677026021,16358,4007,6081.936,16942.536,10751.994,11670.4929488748,14770.416000000001,3946580.544018363
0.174,0.368,486.6,0.1853242539,39211,0.2654612226,0.119,0.302,5541,1008.0,2502.0,16,55419.0,10320.0,76.9683221,5598,4009,4666.1089999999995,14429.648,6822.714,7266.7493196729,11841.722,3018004.8778631
0.152,0.358,358.0,0.1953095381,9341,0.2677443529,0.115,0.267,1372,244.0,561.0,1,67530.0,3385.0,79.922212028,1291,4011,1074.2150000000001,3344.078,1419.8319999999999,1824.3863953921002,2494.047,746553.3825535481
0.195,0.37,350.6,0.1705180125,21480,0.1560055866,0.124,0.315,1374,636.0,1407.0,18,41637.0,4937.0,77.702550268,8956,4012,2663.52,7947.599999999999,4188.6,3662.7269085000003,6766.2,1669050.7797566399
0.143,0.31,632.6,0.1763595285,4579081,0.2309354213,0.102,0.248,812889,172361.0,260595.0,7168,71799.0,1548339.0,79.637280503,729812,4013,467066.262,1419515.11,654808.583,807564.5661233085,1135612.088,364665558.0429577
0.21,0.323,253.1,0.1959488267,217206,0.1635083745,0.102,0.311,20919,8854.0,11081.0,164,46678.0,56941.0,75.46716119,69474,4015,22155.012,70157.538,45613.259999999995,42561.2608522002,67551.066,16391920.21343514
0.207,0.378,724.8,0.1439276406,112112,0.2567700157,0.136,0.284,13252,4097.0,10334.0,103,46698.0,25484.0,71.398138372,21896,4017,15247.232000000002,42378.336,23207.183999999997,16136.015642947199,31839.807999999997,8004588.089161664
0.143,0.308,637.6,0.1822504155,1061175,0.202385092,0.095,0.234,171504,38308.0,63886.0,2146,56551.0,337360.0,78.472345648,221336,4019,100811.625,326841.9,151748.025,193399.5846682125,248314.95,83272891.3930164
0.174,0.346,440.4,0.2015405942,480828,0.2187809362,0.109,0.312,63001,14400.0,23406.0,361,66992.0,126644.0,81.797805936,103815,4021,52410.252,166366.48799999998,83664.072,96906.3608279976,150018.336,39330675.43259501
0.145,0.371,524.8,0.1638915816,46808,0.263736968,0.145,0.321,5819,2220.0,3239.0,18,44402.0,14114.0,81.185355742,8955,4023,6787.16,17365.768,6787.16,7671.4371515328,15025.368,3800124.131571536
0.172,0.278,238.6,0.1830943987,240226,0.1558823774,0.084,0.244,25175,8007.0,8126.0,489,58860.0,67120.0,78.387383332,80939,4025,20178.984,66782.82800000001,41318.871999999996,43984.035022106196,58615.144,18830687.548313033
0.151,0.384,536.5,0.1718976395,217824,0.2478377038,0.134,0.297,28965,16810.0,15999.0,133,54278.0,63937.0,80.484502751,43682,4027,29188.416,83644.416,32891.424,37443.431426448,64693.727999999996,17531456.32723382
0.2110430259,0.38,569.8,0.1593922112,3030522,0.230888936,0.121,0.304,451914,81952.0,198144.0,7597,51146.0,1065652.0,75.48838534,536306,5000,366693.162,1151598.36,639570.5329365197,483041.6026702464,921278.688,228769212.51734746
0.237,0.368,823.5,0.1501487162,17383,0.2310878444,0.116,0.336,2170,378.0,1162.0,20,51186.0,6841.0,72.94702319,3562,5001,2016.428,6396.9439999999995,4119.771,2610.0351337046,5840.688,1268038.10411177
0.242,0.391,610.5,0.1489064703,19339,0.2255028698,0.128,0.357,2118,668.0,1144.0,15,44677.0,6143.0,73.814209739,4181,5003,2475.392,7561.549,4680.038,2879.7022291317003,6904.023,1427493.002142521
