cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper
28940,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.2563095751859432,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
30700,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-1.0624842162347097,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
30780,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.09740057609161212,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
31080,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.02466262736733782,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
31140,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.4535158605775891,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
32820,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.08812582608806352,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
33340,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-1.1424435860113302,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
33460,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5750016885879248,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
34980,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.06833832124717176,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
35380,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.4915248506905918,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
35620,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.42103487606723355,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
36260,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.09207216803132923,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
36420,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.19584103319218116,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
36540,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.046884441663795684,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
37980,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5115486782304934,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38060,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.8898358059283407,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38300,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5452146747594622,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38860,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.42949190576658935,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38900,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.04117333672293988,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
39300,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.6084484801407566,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
